species,Longitude,Latitude
Ae.albopictus,12.597542,49.676432
Ae.albopictus,14.66647,49.5332
Ae.albopictus,10.45,51.16
Ae.albopictus,9.16,50.65
Ae.albopictus,8.22,46.81
Ae.albopictus,-3.74,40.46
Ae.albopictus,10.3105,43.5484
Ae.albopictus,19.5033,47.1624
Ae.albopictus,20.3785,39.4935
Ae.albopictus,23.865,23.75504
Ae.albopictus,23.9284,37.8405
Ae.albopictus,15.904769,45.783521
Ae.albopictus,2.21,46.22
Ae.albopictus,19.37,42.7
Ae.albopictus,21.005,44.0165
Ae.albopictus,26.9094,40.8951
Ae.albopictus,4.4024,51.2194
Ae.albopictus,15.2329,44.1193
Ae.albopictus,16.4401,43.5081
Ae.albopictus,18.0944,42.6506
Ae.albopictus,2.1581,49.0615
Ae.albopictus,7.4975,43.7744
Ae.albopictus,16.3738,48.2081
Ae.albopictus,13.87568,42.94913
Ae.albopictus,12.1616292,45.3451781
Ae.albopictus,9.49388889,40.925
Ae.albopictus,6.23978,43.14038
Ae.albopictus,6.26783,45.55587
Ae.albopictus,12.54212,43.07586
Ae.albopictus,10.401,48.333
Ae.albopictus,11.813,48.123
Ae.albopictus,11.319,49.115
Ae.albopictus,6.481,50.752
Ae.albopictus,8.895,48.617
Ae.albopictus,8.7710674,38.9670383
Ae.albopictus,15.549007,41.4718386
Ae.albopictus,4.256399,39.896794
Ae.albopictus,39.71666,43.58333
Ae.albopictus,38.7,44.31666
Ae.albopictus,35.68333,32.45
Ae.albopictus,35.9,31.45
Ae.albopictus,41.61861,41.63419
Ae.albopictus,-8.093,37.09
Ae.albopictus,24.29825,35.31419
Ae.albopictus,26.2528,39.21446
Ae.albopictus,25.40561,41.11827
Ae.albopictus,18.5767,45.5222
Ae.albopictus,9.944093,49.793261
Ae.albopictus,0.163426,38.767592
Ae.albopictus,-3.301236,36.776992
Ae.albopictus,2.529009,39.626775
Ae.albopictus,-1.7283,37.399859
Ae.albopictus,1.358583,38.996346
Ae.albopictus,3.011307,41.783193
Ae.albopictus,-0.740772,38.07492
Ae.albopictus,1.847919,42.100634
Ae.albopictus,1.589922,41.208823
Ae.albopictus,-1.759894,43.343657
Ae.albopictus,-4.55214,36.660033
Ae.albopictus,20.38,42.19
Ae.albopictus,19.53,41.42
Ae.albopictus,20.79,40.62
Ae.albopictus,16.26,47.14
Ae.albopictus,16.99,44.67
Ae.albopictus,27.31,42.45
Ae.albopictus,13.64,45.09
Ae.albopictus,16.59,49.12
Ae.albopictus,0.06,48.58
Ae.albopictus,4.54,46.66
Ae.albopictus,4.37,44.82
Ae.albopictus,0.47,44.37
Ae.albopictus,2.65,44.32
Ae.albopictus,6.23,44.16
Ae.albopictus,5.02,43.54
Ae.albopictus,1.24,43.3
Ae.albopictus,2.47,43.05
Ae.albopictus,8.97,41.86
Ae.albopictus,0.48,46.76
Ae.albopictus,4.83,45.74
Ae.albopictus,24.2,41.27
Ae.albopictus,22.75,41.07
Ae.albopictus,23.7,40.27
Ae.albopictus,21.37,38.74
Ae.albopictus,22.7,37.92
Ae.albopictus,20.81,37.79
Ae.albopictus,21.97,37.09
Ae.albopictus,10.85,44.57
Ae.albopictus,9.01,44.39
Ae.albopictus,12.4,44.09
Ae.albopictus,12.21,46.28
Ae.albopictus,14.43,42.1
Ae.albopictus,16.4,40.45
Ae.albopictus,18.14,40.15
Ae.albopictus,8.72,40.03
Ae.albopictus,16.91,39.19
Ae.albopictus,16.11,38.24
Ae.albopictus,14.92,38.05
Ae.albopictus,13.61,37.88
Ae.albopictus,15.05,37.03
Ae.albopictus,10.53,45.47
Ae.albopictus,12.9,41.47
Ae.albopictus,14.28,40.85
Ae.albopictus,35.62,33.66
Ae.albopictus,36.39,34.4
Ae.albopictus,4.79,52.32
Ae.albopictus,26.11,44.44
Ae.albopictus,19.67,44.92
Ae.albopictus,21.29,48.68
Ae.albopictus,-0.17,40.25
Ae.albopictus,-0.78,39.45
Ae.albopictus,-2.08,41.47
Ae.albopictus,7.666,45.066
Ae.albopictus,14.5442,35.8577
Ae.albopictus,35.86,35.5
Ae.albopictus,9.42807,42.70267
Ae.albopictus,11.783,42.1
Ae.albopictus,13.586389,46.244473
Ae.albopictus,9.000066667,45.8786
Ae.albopictus,7.853,48.018
Ae.albopictus,8.02,50
