,Longitude,Latitude
Ae. Albopictus,12.597542,49.676432
Ae. Albopictus,14.66647,49.5332
Ae. Albopictus,11.2186,44.5967
Ae. Albopictus,10.45,51.16
Ae. Albopictus,12.2018,47.6041
Ae. Albopictus,9.35,48.66
Ae. Albopictus,9.16,50.65
Ae. Albopictus,7.3,50.11
Ae. Albopictus,21.82,39.07
Ae. Albopictus,8.22,46.81
Ae. Albopictus,-3.74,40.46
Ae. Albopictus,4.46,50.5
Ae. Albopictus,13.3995,42.3498
Ae. Albopictus,12.6551,45.9626
Ae. Albopictus,16.2537,39.2982
Ae. Albopictus,14.3311,41.0723
Ae. Albopictus,13.3125,41.6775
Ae. Albopictus,14.768,40.6824
Ae. Albopictus,12.1076,42.4206
Ae. Albopictus,12.2115,41.8172
Ae. Albopictus,12.9035,41.4675
Ae. Albopictus,8.4645,44.2975
Ae. Albopictus,10.2194,45.5411
Ae. Albopictus,10.0226,45.1332
Ae. Albopictus,9.5018,45.3138
Ae. Albopictus,8.825,45.8205
Ae. Albopictus,9.1865,45.4654
Ae. Albopictus,9.2588,45.6235
Ae. Albopictus,8.6116,44.9072
Ae. Albopictus,10.495,43.8376
Ae. Albopictus,10.9078,43.9303
Ae. Albopictus,11.1022,43.8777
Ae. Albopictus,10.4016,43.7222
Ae. Albopictus,11.1123,42.7635
Ae. Albopictus,12.3908,43.1107
Ae. Albopictus,12.6426,42.5636
Ae. Albopictus,12.2167,46.1424
Ae. Albopictus,10.9916,45.438356
Ae. Albopictus,12.2464,44.1396
Ae. Albopictus,12.5646,44.057
Ae. Albopictus,19.5033,47.1624
Ae. Albopictus,13.9373,45.2397
Ae. Albopictus,20.3785,39.4935
Ae. Albopictus,23.5413,41.0909
Ae. Albopictus,21.3798,38.7084
Ae. Albopictus,23.7186,37.9168
Ae. Albopictus,23.7293,37.9837
Ae. Albopictus,23.7986,38.0213
Ae. Albopictus,23.75303,38.01307
Ae. Albopictus,23.7478,37.9305
Ae. Albopictus,23.7038,38.0307
Ae. Albopictus,23.6987,37.9556
Ae. Albopictus,23.9284,37.8405
Ae. Albopictus,23.6183,37.9617
Ae. Albopictus,23.8227,38.0833
Ae. Albopictus,23.8726,37.9011
Ae. Albopictus,23.5008,38.075
Ae. Albopictus,23.6502,37.9451
Ae. Albopictus,23.7766,38.0602
Ae. Albopictus,23.8028,37.8334
Ae. Albopictus,23.8319,38.0329
Ae. Albopictus,13.7883,45.8549
Ae. Albopictus,13.7482,45.8175
Ae. Albopictus,13.7367,45.4797
Ae. Albopictus,13.5496,45.99205
Ae. Albopictus,13.9371,45.6092
Ae. Albopictus,13.8692,45.5216
Ae. Albopictus,14.2646,45.8604
Ae. Albopictus,13.8004,45.5076
Ae. Albopictus,13.9166,45.4767
Ae. Albopictus,13.6493,45.9549
Ae. Albopictus,13.73201,45.9429
Ae. Albopictus,13.7149,45.8894
Ae. Albopictus,13.7882,45.8895
Ae. Albopictus,13.8738,45.7093
Ae. Albopictus,13.8311,45.5246
Ae. Albopictus,13.9625,45.8455
Ae. Albopictus,13.5306,46.0195
Ae. Albopictus,13.6352,45.9118
Ae. Albopictus,13.8327,45.7557
Ae. Albopictus,14.2418,45.57009
Ae. Albopictus,13.92809,45.6609
Ae. Albopictus,14.5828,46.2114
Ae. Albopictus,14.2133,45.7749
Ae. Albopictus,14.0387,45.7199
Ae. Albopictus,2.21,46.22
Ae. Albopictus,21.005,44.0165
Ae. Albopictus,12.51701,41.9026
Ae. Albopictus,7.41797,43.7356
Ae. Albopictus,12.453389,41.902916
Ae. Albopictus,16.632792,48.797359
Ae. Albopictus,11.0401,45.8909
Ae. Albopictus,10.8855,45.9178
Ae. Albopictus,10.8426,45.8885
Ae. Albopictus,2.078861111,41.50036111
Ae. Albopictus,-0.754805556,37.978
Ae. Albopictus,2.155666667,41.49733333
Ae. Albopictus,2.010416667,41.56094444
Ae. Albopictus,2.045166667,41.38091667
Ae. Albopictus,1.93225,41.38869444
Ae. Albopictus,1.811222222,41.23477778
Ae. Albopictus,1.981388889,41.47466667
Ae. Albopictus,2.114861111,41.50869444
Ae. Albopictus,2.1885,41.48230556
Ae. Albopictus,2.156222222,41.5575
Ae. Albopictus,1.861194444,41.40711111
Ae. Albopictus,1.975916667,41.44716667
Ae. Albopictus,1.967138889,41.41330556
Ae. Albopictus,2.015083333,41.36683333
Ae. Albopictus,2.247416667,41.45011111
Ae. Albopictus,1.672805556,41.20833333
Ae. Albopictus,1.956916667,41.52705556
Ae. Albopictus,2.213527778,41.5405
Ae. Albopictus,1.863833333,41.66577778
Ae. Albopictus,2.009861111,41.39361111
Ae. Albopictus,1.976638889,41.35388889
Ae. Albopictus,1.872777778,41.49452778
Ae. Albopictus,1.534833333,41.22041667
Ae. Albopictus,1.775416667,41.25908333
Ae. Albopictus,2.78,41.79025
Ae. Albopictus,2.732611111,41.77702778
Ae. Albopictus,2.239416667,41.60863889
Ae. Albopictus,2.600305556,41.61975
Ae. Albopictus,2.719,41.70205556
Ae. Albopictus,2.356527778,41.48955556
Ae. Albopictus,2.320611111,41.49966667
Ae. Albopictus,2.400555556,41.55552778
Ae. Albopictus,0.508194444,41.36388889
Ae. Albopictus,-0.683222222,37.97744444
Ae. Albopictus,4.4024,51.2194
Ae. Albopictus,17.2149,44.7755
Ae. Albopictus,16.4401,43.5081
Ae. Albopictus,18.0944,42.6506
Ae. Albopictus,2.1581,49.0615
Ae. Albopictus,2.9993,48.84108
Ae. Albopictus,0.1712,48.8798
Ae. Albopictus,7.4975,43.7744
Ae. Albopictus,7.264838,43.715689
Ae. Albopictus,19.2686,42.4425
Ae. Albopictus,19.097113,42.095388
Ae. Albopictus,19.0444,42.1436
Ae. Albopictus,18.670218,42.393037
Ae. Albopictus,19.7856,42.7387
Ae. Albopictus,18.7422,42.4575
Ae. Albopictus,18.533377,42.454787
Ae. Albopictus,4.4937,52.0207
Ae. Albopictus,4.7884,52.5205
Ae. Albopictus,5.1145,52.0917
Ae. Albopictus,1.3776,41.1408
Ae. Albopictus,8.8004,46.3317
Ae. Albopictus,16.3738,48.2081
Ae. Albopictus,4.6695,52.2904
Ae. Albopictus,13.5684853,42.8585553
Ae. Albopictus,13.35139,43.57939
Ae. Albopictus,13.54909,43.46131
Ae. Albopictus,13.3285,43.60416
Ae. Albopictus,13.8556218,43.0365738
Ae. Albopictus,13.40268,43.62506
Ae. Albopictus,13.0015,43.835
Ae. Albopictus,12.64273,43.67683
Ae. Albopictus,12.7573782,43.9608774
Ae. Albopictus,13.8697474,42.993925
Ae. Albopictus,13.21801,43.52639
Ae. Albopictus,13.43287,43.30478
Ae. Albopictus,13.13457,43.76736
Ae. Albopictus,12.89055,43.90796
Ae. Albopictus,12.89623,43.75197
Ae. Albopictus,13.87568,42.94913
Ae. Albopictus,13.1834215,43.2257968
Ae. Albopictus,13.7713376,42.875275
Ae. Albopictus,12.44585216,45.55493685
Ae. Albopictus,12.21147537,45.51290317
Ae. Albopictus,12.15378642,45.42266496
Ae. Albopictus,12.1616292,45.3451781
Ae. Albopictus,12.3223418,45.13213033
Ae. Albopictus,12.12370276,45.1348967
Ae. Albopictus,11.68069839,45.55806951
Ae. Albopictus,11.7881155,45.54124722
Ae. Albopictus,11.9336602,45.4247522
Ae. Albopictus,11.66591406,45.24865941
Ae. Albopictus,11.46236658,45.03046879
Ae. Albopictus,11.78288519,45.10759419
Ae. Albopictus,11.5556234,45.2131637
Ae. Albopictus,11.79020762,45.38855764
Ae. Albopictus,11.99479043,45.29795062
Ae. Albopictus,11.28819466,45.0269732
Ae. Albopictus,11.43602729,44.95497042
Ae. Albopictus,7.720825,47.970281
Ae. Albopictus,10.7848593,45.1517569
Ae. Albopictus,9.00916667,39.13138889
Ae. Albopictus,9.0143282,39.2267043
Ae. Albopictus,8.53805556,39.31
Ae. Albopictus,9.04944444,39.26722222
Ae. Albopictus,8.7710674,38.9670383
Ae. Albopictus,9.1097683,39.2257522
Ae. Albopictus,12.49361111,45.78111111
Ae. Albopictus,12.25111111,45.85222222
Ae. Albopictus,7.31124,43.97423
Ae. Albopictus,7.26392,43.91921
Ae. Albopictus,7.16456,43.84899
Ae. Albopictus,7.09223,43.8641
Ae. Albopictus,6.89393,43.95528
Ae. Albopictus,7.00559,43.94712
Ae. Albopictus,7.08671,43.93624
Ae. Albopictus,6.94572,43.79628
Ae. Albopictus,6.80608,43.80597
Ae. Albopictus,6.8528,43.69649
Ae. Albopictus,6.84523,43.63999
Ae. Albopictus,6.6843,43.45283
Ae. Albopictus,6.63415,43.43985
Ae. Albopictus,6.53625,43.49142
Ae. Albopictus,6.56697,43.47038
Ae. Albopictus,6.48243,43.51197
Ae. Albopictus,6.4618,43.5376
Ae. Albopictus,6.48657,43.44682
Ae. Albopictus,6.4377,43.43252
Ae. Albopictus,6.54752,43.34082
Ae. Albopictus,6.52513,43.27288
Ae. Albopictus,6.52705,43.1744
Ae. Albopictus,6.46262,43.15853
Ae. Albopictus,6.42773,43.1527
Ae. Albopictus,6.07387,43.40597
Ae. Albopictus,6.3437,43.39235
Ae. Albopictus,6.69255,43.62225
Ae. Albopictus,6.75395,43.62267
Ae. Albopictus,6.69755,43.537
Ae. Albopictus,5.64337,43.47145
Ae. Albopictus,5.41,43.29861
Ae. Albopictus,3.09042,43.21513
Ae. Albopictus,3.79467,43.54843
Ae. Albopictus,4.13333,43.71613
Ae. Albopictus,5.05247,43.92207
Ae. Albopictus,4.7239,44.21605
Ae. Albopictus,2.85823,42.4756
Ae. Albopictus,2.84785,42.5778
Ae. Albopictus,2.91286,42.8401
Ae. Albopictus,6.2679,45.55699
Ae. Albopictus,7.51635,43.94349
Ae. Albopictus,7.55314,44.00217
Ae. Albopictus,7.58648,44.05631
Ae. Albopictus,7.34941,43.76529
Ae. Albopictus,7.37469,43.79037
Ae. Albopictus,7.35695,43.83412
Ae. Albopictus,7.35873,43.88178
Ae. Albopictus,7.2938,43.86483
Ae. Albopictus,7.29482,43.83529
Ae. Albopictus,7.29609,43.80886
Ae. Albopictus,7.22387,43.86342
Ae. Albopictus,7.20029,43.82836
Ae. Albopictus,7.15424,43.96158
Ae. Albopictus,7.10472,44.08336
Ae. Albopictus,7.05299,44.1863
Ae. Albopictus,7.16752,44.07
Ae. Albopictus,7.30616,44.01047
Ae. Albopictus,10.55194444,45.46138889
Ae. Albopictus,8.79509,46.16642
Ae. Albopictus,8.84988,46.17891
Ae. Albopictus,8.91591,46.17395
Ae. Albopictus,9.01651,46.17691
Ae. Albopictus,8.86383,46.14654
Ae. Albopictus,8.92679,46.05793
Ae. Albopictus,8.92111,46.03286
Ae. Albopictus,8.9019,46.00659
Ae. Albopictus,8.88014,45.9711
Ae. Albopictus,8.97173,46.03126
Ae. Albopictus,8.97909,46.00191
Ae. Albopictus,8.93457,45.98825
Ae. Albopictus,8.94576,45.95569
Ae. Albopictus,8.97319,45.93455
Ae. Albopictus,12.5459008,42.7006905
Ae. Albopictus,12.26083,42.58861
Ae. Albopictus,12.5747837,43.061298
Ae. Albopictus,12.54212,43.07586
Ae. Albopictus,12.03386,43.12087
Ae. Albopictus,12.24746,43.46224
Ae. Albopictus,12.31516,43.0864
Ae. Albopictus,12.0385348,42.8749669
Ae. Albopictus,12.78661,42.6205
Ae. Albopictus,12.714661,42.949198
Ae. Albopictus,12.3574783,42.8572074
Ae. Albopictus,12.77902,43.23059
Ae. Albopictus,12.578181,43.3079029
Ae. Albopictus,12.3482094,42.9194907
Ae. Albopictus,12.3292189,43.3488288
Ae. Albopictus,12.5182392,42.5340651
Ae. Albopictus,12.1039855,42.7186044
Ae. Albopictus,12.1755573,43.1830837
Ae. Albopictus,12.5016,43.09453
Ae. Albopictus,12.17799,43.54794
Ae. Albopictus,12.73642,42.74777
Ae. Albopictus,12.75438,42.53672
Ae. Albopictus,12.40394,42.77799
Ae. Albopictus,12.32653,43.3045
Ae. Albopictus,10.401,48.333
Ae. Albopictus,11.621,48.151
Ae. Albopictus,11.813,48.123
Ae. Albopictus,11.319,49.115
Ae. Albopictus,6.481,50.752
Ae. Albopictus,9.192,48.886
Ae. Albopictus,8.895,48.617
Ae. Albopictus,9.087,48.534
Ae. Albopictus,9.726,48.11
Ae. Albopictus,9.0020771,39.2911358
Ae. Albopictus,9.66759,45.69492
Ae. Albopictus,9.5504627,45.599685
Ae. Albopictus,15.549007,41.4718386
Ae. Albopictus,12.14775946,43.78251087
Ae. Albopictus,12.31358167,43.88011361
Ae. Albopictus,12.2784632,43.90057323
Ae. Albopictus,12.27335585,43.80685626
Ae. Albopictus,12.37463136,43.91499338
Ae. Albopictus,12.19763799,43.85930773
Ae. Albopictus,10.03791141,45.08863508
Ae. Albopictus,9.501930628,44.96740433
Ae. Albopictus,9.962461934,44.8873046
Ae. Albopictus,9.98013327,44.97381087
Ae. Albopictus,9.596539124,44.77862201
Ae. Albopictus,9.385855939,44.79202588
Ae. Albopictus,9.461956212,45.00775979
Ae. Albopictus,9.850694146,44.97557652
Ae. Albopictus,9.608267126,45.09124526
Ae. Albopictus,9.85552104,45.05357762
Ae. Albopictus,9.796772698,44.89913106
